Date,Invoice No,Item,Qty,Rate,Amount,Customer,Payment Method,Depot,Balance Owing
16-Jul-2026,INV4426,12mm Iron Rod (length),76,7517,571292,Eng. Okafor,Part Payment,Main Yard,233138
05/05/2026,INV4028, BLOCKS 6IN (PIECE) ,285,380,108300,Walk-in,part payment,Ojo Branch,60130
15/06/2026,INV7372, 12MM IRON ROD (LENGTH) ,37,8500,314500,Site 12 Rehab,Credit,Ojo Branch,0
27/07/2026,INV7846,Blocks 6in (piece),310,380,117800,Grace Ventures,Credit,Ikorodu Branch,0
06/06/2026,INV5981,Paint Emulsion (20L),13,26879,349427,Kola & Sons,Credit,Ikorodu Branch,191154
13/07/2026,INV5883,Nails 3in (kg),7,1800,12600,Grace Ventures,part payment,Ojo Branch,0
02-Jun-2026,INV9822,10mm Iron Rod (length),56,6200,347200,Alhaji Bello,Credit,Main Yard,0
15/07/2026,INV5304, BLOCKS 6IN (PIECE) ,259,380,98420,Site 12 Rehab,POS,Main Yard,0
20/06/2026,INV6235,16mm Iron Rod (length),50,13184,659200,Chief Nwosu,credit,Ojo Branch,0
25-Jun-2026,INV1203,Sharp Sand (trip),1,85000,85000,Zenith Builders,Cash,Main Yard,0
01/05/2026,INV6345,Stepping Tiles (carton),11,7500,82500,Mrs Adebayo,POS,Main Yard,0
23/07/2026,INV1721,BUA Cement (bag),14,9200,128800,Mrs Adebayo,,,0
04/05/2026,INV1176,Granite 3/4 (trip),2,145000,290000,Site 12 Rehab,transfer,Main Yard,0
09/07/2026,INV6257,Aluminium Roofing (m2),42,6800,285600,Grace Ventures,Transfer,Main Yard,115911
2026-06-17,INV8566,Blocks 6in (piece),557,349,194393,Eng. Okafor,Part Payment,Ikorodu Branch,0
18/07/2026,INV5182,Granite 3/4 (trip),1,145000,145000,Mrs Adebayo,credit,Main Yard,0
23/06/2026,INV1378,Blocks 6in (piece),406,380,154280,Zenith Builders,Part Payment,Ikorodu Branch,0
04/06/2026,INV2169,Binding Wire (roll),2,12000,24000,Alhaji Bello,POS,Main Yard,0
16/06/2026,INV7935,Paint Emulsion (20L),11,24773,272503,Eng. Okafor,Transfer,Ikorodu Branch,0
07/07/2026,INV6959,Binding Wire (roll),8,11249,89992,Mrs Adebayo,Credit,Main Yard,0
02/06/2026,INV1848, GRANITE 3/4 (TRIP) ,2,145000,290000,Zenith Builders,cash,Main Yard,0
06/05/2026,INV7873,12mm Iron Rod (length),58,"N7,789",451762,Site 12 Rehab,cash,Main Yard,0
28/05/2026,INV2279,16mm Iron Rod (length),36,14500,522000,Alhaji Bello,cash,Main Yard,0
18/07/2026,INV8331, DANGOTE CEMENT (BAG) ,83,9500,788500,Grace Ventures,Credit,Ikorodu Branch,0
27/05/2026,INV4511,Paint Emulsion (20L),11,26016,286176,Mrs Adebayo,part payment,Main Yard,159257
28-Jul-2026,INV2801,Blocks 9in (piece),703,429,301587,Chief Nwosu,Transfer,Main Yard,62810
30/06/2026,INV2751, 12MM IRON ROD (LENGTH) ,44,8500,374000,Walk-in,Transfer,Main Yard,0
17-Jul-2026,INV2520,12mm Iron Rod (length),13,8500,110500,Eng. Okafor,Part Payment,Ojo Branch,0
05/06/2026,INV9397,Blocks 6in (piece),177,380,67260,Eng. Okafor,Cash,Ikorodu Branch,0
14/05/2026,INV1937,PVC Pipe 4in (length),50,3769,188450,Walk-in,cash,Main Yard,0
